product_id,product_name,category,model,price,cost,stock,release_date,warranty_months,status
P001,智云音箱 Pro,智能音箱,ZY-SP100,899,420,1520,2025-03-15,12,在售
P002,智云安防摄像头 S2,安防设备,ZY-CV200,499,210,3200,2025-01-05,12,在售
P003,智云安防摄像头 S2 套装,安防设备,ZY-CV200-KIT,899,380,800,2025-01-05,12,在售
P004,智云智能灯泡 L1,照明设备,ZY-LB100,79,28,5600,2024-06-01,12,在售
P005,智云智能灯泡 L1 彩色版,照明设备,ZY-LB100C,129,45,3800,2024-06-01,12,在售
P006,智云智能插座 P1,电工照明,ZY-PL100,59,18,8200,2024-06-01,12,在售
P007,智云温湿度传感器,传感器,ZY-TH100,129,42,4500,2024-08-15,12,在售
P008,智云人体传感器,传感器,ZY-PI100,99,32,6100,2024-08-15,12,在售
P009,智云门窗传感器,传感器,ZY-DO100,79,25,5300,2024-08-15,12,在售
P010,智云中控屏,中控设备,ZY-CP100,1299,580,920,2024-11-20,12,在售
P011,智云窗帘电机,电机设备,ZY-CM100,399,165,1800,2024-09-10,12,在售
P012,智云智能门锁 L2,安防设备,ZY-DL200,1599,680,650,2025-02-14,24,在售
P013,智云燃气报警器,安防设备,ZY-GA100,199,72,3200,2024-10-01,36,在售
P014,智云烟雾报警器,安防设备,ZY-SA100,169,58,2800,2024-10-01,36,在售
P015,智云 NVR 录像主机,安防设备,ZY-NVR400,599,245,1100,2024-12-01,24,在售
P016,智云空气检测仪,传感器,ZY-AD100,349,135,1500,2025-03-01,12,在售
P017,智云智能晾衣架,生活电器,ZY-DR100,1999,820,400,2025-04-01,24,在售
P018,智云智能窗帘轨道,电机设备,ZY-CT100,699,290,750,2024-09-10,12,在售
P019,智云音箱 Mini,智能音箱,ZY-SM100,399,175,2100,2024-07-01,12,在售
P020,智云智能猫眼,安防设备,ZY-PE100,899,370,900,2025-04-10,12,在售
